variant,order,step,case,augmentation,loss,gradient_norm,update_delta_norm,learning_rate,weight_decay,base_trainable_parameters,lora_trainable_parameter_tensors,lora_trainable_parameters
A0_confidence_rank,forward,1,HEM_PA99.nii.gz,gamma:0.3,0.00012996549776289612,0.0001956314081326127,0.029708756133913994,0.0001,0.0,0,72,589824
A0_confidence_rank,forward,2,HCC_10140276_20170721.nii.gz,blur:1.5,0.0013036640593782067,0.0013179384404793382,0.03271934390068054,0.0001,0.0,0,72,589824
A0_confidence_rank,forward,3,HEM_PA97.nii.gz,gamma:0.3,0.001139364903792739,0.0018986176000908017,0.029140591621398926,0.0001,0.0,0,72,589824
A0_confidence_rank,forward,4,CYST_PA69.nii.gz,blur:1.5,0.002402510028332472,0.0015129974344745278,0.022537527605891228,0.0001,0.0,0,72,589824
A0_confidence_rank,reverse,1,CYST_PA69.nii.gz,blur:1.5,0.002186714904382825,0.0011855431366711855,0.034421227872371674,0.0001,0.0,0,72,589824
A0_confidence_rank,reverse,2,HEM_PA97.nii.gz,gamma:0.3,0.0013421600451692939,0.0023275769781321287,0.03545297309756279,0.0001,0.0,0,72,589824
A0_confidence_rank,reverse,3,HCC_10140276_20170721.nii.gz,blur:1.5,0.0012344003189355135,0.0010880137560889125,0.025449974462389946,0.0001,0.0,0,72,589824
A0_confidence_rank,reverse,4,HEM_PA99.nii.gz,gamma:0.3,0.00013700424460694194,0.0001343906478723511,0.020675310865044594,0.0001,0.0,0,72,589824
A1_world,forward,1,HEM_PA99.nii.gz,gamma:0.3,0.00047966002603061497,0.0004072737938258797,0.03235480561852455,0.0001,0.0,0,72,589824
A1_world,forward,2,HCC_10140276_20170721.nii.gz,blur:1.5,0.0021593072451651096,0.002145590493455529,0.0346543975174427,0.0001,0.0,0,72,589824
A1_world,forward,3,HEM_PA97.nii.gz,gamma:0.3,0.0015719436341896653,0.0020562114659696817,0.0322379432618618,0.0001,0.0,0,72,589824
A1_world,forward,4,CYST_PA69.nii.gz,blur:1.5,0.004090073052793741,0.002026462461799383,0.02306266501545906,0.0001,0.0,0,72,589824
A1_world,reverse,1,CYST_PA69.nii.gz,blur:1.5,0.003798137418925762,0.0016080837231129408,0.03515248745679855,0.0001,0.0,0,72,589824
A1_world,reverse,2,HEM_PA97.nii.gz,gamma:0.3,0.0019359069410711527,0.002682032994925976,0.03669954836368561,0.0001,0.0,0,72,589824
A1_world,reverse,3,HCC_10140276_20170721.nii.gz,blur:1.5,0.0018529861699789762,0.0011976867681369185,0.02671380713582039,0.0001,0.0,0,72,589824
A1_world,reverse,4,HEM_PA99.nii.gz,gamma:0.3,0.0005248092929832637,0.00031649289303459227,0.021338626742362976,0.0001,0.0,0,72,589824
A2_joint_product,forward,1,HEM_PA99.nii.gz,gamma:0.3,4.52454733022023e-05,0.00012902257731184363,0.027953701093792915,0.0001,0.0,0,72,589824
A2_joint_product,forward,2,HCC_10140276_20170721.nii.gz,blur:1.5,0.00010174709314014763,0.0001877620379673317,0.02904120273888111,0.0001,0.0,0,72,589824
A2_joint_product,forward,3,HEM_PA97.nii.gz,gamma:0.3,8.605405309936032e-05,0.00019326864276081324,0.03091459535062313,0.0001,0.0,0,72,589824
A2_joint_product,forward,4,CYST_PA69.nii.gz,blur:1.5,0.0002675582654774189,0.00033186556538566947,0.032152242958545685,0.0001,0.0,0,72,589824
A2_joint_product,reverse,1,CYST_PA69.nii.gz,blur:1.5,0.0002713936264626682,0.00035395691520534456,0.03202027827501297,0.0001,0.0,0,72,589824
A2_joint_product,reverse,2,HEM_PA97.nii.gz,gamma:0.3,0.0001378418819513172,0.0002994354290422052,0.03365160524845123,0.0001,0.0,0,72,589824
A2_joint_product,reverse,3,HCC_10140276_20170721.nii.gz,blur:1.5,5.94204684603028e-05,6.826488970546052e-05,0.028124257922172546,0.0001,0.0,0,72,589824
A2_joint_product,reverse,4,HEM_PA99.nii.gz,gamma:0.3,4.0009319491218776e-05,0.00013363138714339584,0.0291547030210495,0.0001,0.0,0,72,589824
